SITE_NAME,ACRES,TypeLong,ZipCode,ADDRESS
Boston Common,45.74095034,"Parks, Playgrounds & Athletic Fields",02108,139 Tremont St (Visitor Info Center) 1B Charles St (Earl of Sandwich)  38 Beacon St (Frog Pond) 167 Tremont St (Parkman Bandstand) 115 Boylston St (Deer Park)
Central Burying Ground,1.48917439,Cemeteries & Burying Grounds,02108,125 Boylston Street
Public Garden,23.50816815,"Parks, Playgrounds & Athletic Fields","02108, 02116",4 Charles Street
Granary Burying Ground,1.85683737,Cemeteries & Burying Grounds,02108,95 Tremont Street
Phillips Street Play Area,0.11527547,"Parks, Playgrounds & Athletic Fields",02114,21 Phillips Street
Myrtle Street Playground,0.16074066,"Parks, Playgrounds & Athletic Fields",02114,50 Myrtle Street
Copley Square Park,1.85443363,"Malls, Squares & Plazas",02116,560 Boylston Street
Clarendon Street Playlot,0.32391688,"Parks, Playgrounds & Athletic Fields",02116,260 Clarendon Street
DeFilippo Playground,1.11810624,"Parks, Playgrounds & Athletic Fields",02113,135 Prince Street
Copp's Hill Burying Ground,1.9815775,Cemeteries & Burying Grounds,02113,Opposite 34 Hull Str.
Copp's Hill Terrace,0.61203713,"Malls, Squares & Plazas",02113,536 Commericial Str.
Foster Street Play Area,0.10758423,"Parks, Playgrounds & Athletic Fields",02113,15 Foster Street
Charter Street Park,0.23871022,"Parks, Playgrounds & Athletic Fields",02113,21P Charter Street
Paul Revere Mall,0.85716454,"Malls, Squares & Plazas",02113,370 Hanover Street
Polcari Park,0.27894045,"Parks, Playgrounds & Athletic Fields",02113,45 Prince Street
Cutillo Park,0.28935655,"Parks, Playgrounds & Athletic Fields",02113,10 Stillman Street
City Hall Plaza,6.01397006,"Malls, Squares & Plazas",02203, 
Norman Leventhal Park,1.54089431,"Parks, Playgrounds & Athletic Fields",02110,130 Congress Str.
Angell Memorial Square,0.17664515,"Malls, Squares & Plazas",02109,152-158 Congress Street
Union Street Park,0.50833641,"Malls, Squares & Plazas",02108,Between Union Street & Congress Street opposite City Hall
Langone Park,2.1838685,"Parks, Playgrounds & Athletic Fields",02109,529-543 Commercial Street
Prince Street Park,1.28400688,"Parkways, Reservations & Beaches",02109, 
Rachel Revere Square,0.08036273,"Malls, Squares & Plazas",02113,200 North Street
Tai Tung Park,0.03349567,"Parks, Playgrounds & Athletic Fields",02111,110 Tyler Street
Leo F. McCarthy Playground,1.33874237,"Parks, Playgrounds & Athletic Fields",02129,10 Eden Street
City Square,1.20876298,"Malls, Squares & Plazas",02129, 
John Harvard Mall,0.8129293,"Malls, Squares & Plazas",02129,
Paul Revere Park,6.40064499,"Parkways, Reservations & Beaches",02129, 
Charlestown H.S. Athletic Fields,10.41698001,"Parks, Playgrounds & Athletic Fields",02129,39 Terminal Street
Ryan Playground,8.77653179,"Parks, Playgrounds & Athletic Fields",02129,75 Alford Street
Barry Playground,3.5513371,"Parks, Playgrounds & Athletic Fields",02129,41 Medford Street
Doherty Playground,3.75245886,"Parks, Playgrounds & Athletic Fields",02129,349 Bunker Hill Street
St Francis De Sales Cemetery,1.79988905,Cemeteries & Burying Grounds,02129, 
Bunker Hill Monument,3.77625645,"Malls, Squares & Plazas",02129, 
Phipps Street Burying Ground,1.72179063,Cemeteries & Burying Grounds,02129,25 Phipps Street
Winthrop Square,0.900859,"Malls, Squares & Plazas",02129,55 Winthrop Street
Hayes Square,0.1747193,"Malls, Squares & Plazas",02129,45 Bunker Hill Street
Charlestown Sprouts Garden,0.4765882,Community Gardens,02129, 
East Boston Memorial Park I,17.6796181,"Parks, Playgrounds & Athletic Fields",02128, 
Noyes Playground,8.31709266,"Parks, Playgrounds & Athletic Fields",02128,86 Boardman Street
Temple Ohabei Shalom Cemetery,2.33966592,Cemeteries & Burying Grounds,02128, 
Cuneo Park,0.23069055,"Parks, Playgrounds & Athletic Fields",02128,765 Saratoga Street
Bennington Street Cemetery,3.59002599,Cemeteries & Burying Grounds,02128,495 Bennington Street
American Legion Playground,3.3805977,"Parks, Playgrounds & Athletic Fields",02128,25 Glendon Street
Prescott Square,0.27470857,"Malls, Squares & Plazas",02128,2 Prescott Street
Putnam Square,0.26683758,"Malls, Squares & Plazas",02128,70 Putnam Street
Paris Street Playground,1.28144947,"Parks, Playgrounds & Athletic Fields",02128,115 Paris Street
Brophy Park,0.78252588,"Parks, Playgrounds & Athletic Fields",02128,192 Webster Street
Sumner & Lamson Street Playground,0.47865985,"Parks, Playgrounds & Athletic Fields",02128,430 Sumner Street
Condor Street Beach,2.74385229,Urban Wilds,02128,300 Condor St.
East Boston Greenway,3.50179329,"Parkways, Reservations & Beaches",02128,44 Marginal Street
Symphony Community Park,0.47762031,"Parks, Playgrounds & Athletic Fields",02115,39 Edgerly Road
Edgerly Road Playground,0.12319958,"Parks, Playgrounds & Athletic Fields",02115,6 Edgerly Road
Commonwealth Avenue Mall II,0.97100607,"Malls, Squares & Plazas",02215,"Commonwealth Ave btwn Charlesgate West & Kenmore St, nr Kenmore T Station"
Stony Brook Sewer Easement,0.31277237,"Malls, Squares & Plazas",02115, 
Gallops Island,25.09617342,"Parkways, Reservations & Beaches", , 
Lovells Island,60.96033399,"Parkways, Reservations & Beaches", , 
Georges Island,40.45544066,"Parkways, Reservations & Beaches", , 
Thompson Island,169.88699023,"Parkways, Reservations & Beaches", ,"Boston Harbor, west of Harbor Point, Dorchester"
Connell Fields/Hickey Courts,16.78363393,"Parks, Playgrounds & Athletic Fields",02136, 
Weider Park,6.88373071,"Parks, Playgrounds & Athletic Fields",02136, 
Monterey Hilltop,6.67237544,Urban Wilds,"02136, 02131",700 Beechmont Street
Sherrin Woods,23.9488054,Urban Wilds,02136,1 Marston Street
Doyle Playground,0.94494899,"Parks, Playgrounds & Athletic Fields",02136, 
West Street,2.5055118,Urban Wilds,02136,2 West Street
Dell Rock,1.30443817,Urban Wilds,02136,40 Dell Avenue
Amatucci Playground,0.46590072,"Parks, Playgrounds & Athletic Fields",02136,1460 Hyde Park Avenue
Moynihan Playground,7.18636757,"Parks, Playgrounds & Athletic Fields",02136, 
Iacono/Readville Playground,4.91446373,"Parks, Playgrounds & Athletic Fields",02136,150 Readville Street
Camp Meigs,2.86609445,"Parks, Playgrounds & Athletic Fields",02136, 
Jeremiah Hurley Memorial Park,0.07297301,"Malls, Squares & Plazas",02136,0 (Zero) Wolcott Square
Stony Brook Recreation Complex,27.39580723,"Parks, Playgrounds & Athletic Fields",02136,Corner Turtle Pond Parkway & River Street
Williams Square,0.03806014,"Malls, Squares & Plazas",02136,140 Williams Avenue
Dana Avenue Urban Wild,0.77727562,Urban Wilds,02136, 
Mother Brook Reservation,30.39329582,"Parkways, Reservations & Beaches",02136, 
Mission Hill Playground,2.76091488,"Parks, Playgrounds & Athletic Fields",02120,60 Smith Street
Gibbons Playground,0.10489898,"Parks, Playgrounds & Athletic Fields",02120,23 Delle Avenue
Mozart Street Playground,0.80633719,"Parks, Playgrounds & Athletic Fields",02130,10 Mozart Street
Beecher Street Play Area,0.17425723,"Parks, Playgrounds & Athletic Fields",02130,20 Beecher Street
Lawrence Farm,41.1616755,Open Land,02130, 
Soldier's Monument,0.13269948,"Malls, Squares & Plazas",02130,1 South Street
English H.S. Athletic Fields,7.63387255,"Parks, Playgrounds & Athletic Fields",02130,20 Williams Street
Johnson Park II,0.17064967,"Parks, Playgrounds & Athletic Fields",02130, 
Johnson Park I,2.60107852,"Parks, Playgrounds & Athletic Fields",02130, 
Mahoney Square,0.0602203,"Malls, Squares & Plazas",02130,399P Centre Street
Back of the Hill Urban Wild,3.71652063,Urban Wilds,"02130, 02120",60 Ellingwood Street
Thetford/Evans Playground,0.68323955,"Parks, Playgrounds & Athletic Fields",02124,15 Evans Street
Woodhaven,1.22255816,Urban Wilds,02126,60 Woodhaven Street
Gladeside,10.29017524,Urban Wilds,02126,12 Gladeside Terrace
Willowwood Rock,0.55885711,Urban Wilds,02124,30 Willlowwood Street
Msgr. Francis A. Ryan Park,6.14183597,"Parks, Playgrounds & Athletic Fields",02126, 
Walker Playground,5.95396661,"Parks, Playgrounds & Athletic Fields",02126,550 Norfolk Street
Kennedy Playground,0.26005249,"Parks, Playgrounds & Athletic Fields",02126, 
Forest Hills Cemetery,243.78709001,Cemeteries & Burying Grounds,02130, 
Walter Street Cemetery,0.86134391,Cemeteries & Burying Grounds,02131,155 Walter Street
Pagel Playground,2.71725419,"Parks, Playgrounds & Athletic Fields",02131,365 Hyde Park Avenue
Parkman Playground,2.06827268,"Parks, Playgrounds & Athletic Fields",02130,58 Wachusett Street
Fallon Field,7.51214641,"Parks, Playgrounds & Athletic Fields",02131,910 South Street
Poplar Street Play Area,0.43611834,"Parks, Playgrounds & Athletic Fields",02131,245 Poplar Street
Delano Park,0.20638751,"Malls, Squares & Plazas",02131,2P Delano Park
Toll Gate Cemetery,0.90486582,Cemeteries & Burying Grounds,02130, 
Dudley Town Common,0.61711798,"Malls, Squares & Plazas",02119,"366-378 Dudley Street
421-425 Dudley Street"
King Street Play Area,0.1252945,"Parks, Playgrounds & Athletic Fields",02119,239 Roxbury Street
Jeep Jones Park,1.81821592,"Parks, Playgrounds & Athletic Fields",02119,221 Roxbury Street
Linwood Park,0.07384486,"Malls, Squares & Plazas",02119,55P Linwood Park Street
Kittredge Park,0.11614305,"Malls, Squares & Plazas",02119,2P Kittredge Park
Rockledge Street Urban Wild,0.51363738,Urban Wilds,02119,5 Rockledge Street
St James Street Park,0.39295057,"Parks, Playgrounds & Athletic Fields",02119,39 St. James Street
Malcolm X Park,15.24316864,"Parks, Playgrounds & Athletic Fields",02119,150 M L King Jr. Boulevard
Horatio Harris Park,2.52211074,"Parks, Playgrounds & Athletic Fields",02121,85 Harold Street
Trotter School Playground,1.24409101,"Parks, Playgrounds & Athletic Fields",02121,59 Waumbeck Street
Crawford Street Playground,2.56768548,"Parks, Playgrounds & Athletic Fields",02121,320 Walnut Avenue
Father Jack Play Area,0.31972415,"Parks, Playgrounds & Athletic Fields",02119,345 Walnut Avenue
Flaherty Playground,1.31089218,"Parks, Playgrounds & Athletic Fields",02130,40 Cornwall Street
Marcella Playground,5.09023284,"Parks, Playgrounds & Athletic Fields",02119,260 Highland Street
Highland Park,3.63283913,"Parks, Playgrounds & Athletic Fields",02119,58 Beech Glen Street
Cedar Square,0.61566382,"Parks, Playgrounds & Athletic Fields",02119,15 Cedar Street
Elm Hill Park,0.11791867,"Malls, Squares & Plazas",02121,21P Elm Hill Park
Quincy Street Play Area,0.54606112,"Parks, Playgrounds & Athletic Fields",02121,65 Quincy Street
Howes Playground,1.89271114,"Parks, Playgrounds & Athletic Fields",02119,68 Moreland Street
Little Scobie Playground,0.79442312,"Parks, Playgrounds & Athletic Fields",02119,36 Copeland Street
Erie/Ellington Playground,0.37053063,"Parks, Playgrounds & Athletic Fields",02121,125 Erie Street
Puddingstone Park,0.54822668,"Parks, Playgrounds & Athletic Fields",02121,330 Seaver Street
Bynoe Park,2.67513375,"Parks, Playgrounds & Athletic Fields",02119,50 Orchard Park
Buena Vista,1.47775025,Urban Wilds,02119, 
Madison Park H.S. Athletic Fields,9.60646747,"Parks, Playgrounds & Athletic Fields",02120,55 Malcolm X Boulevard
Dennis Street Park,0.68561997,"Parks, Playgrounds & Athletic Fields",02119,138 Moreland Street
Holborn Street Playlot,0.14143004,"Parks, Playgrounds & Athletic Fields",02121,6 Holborn Street
Medal of Honor Park,6.18321088,"Malls, Squares & Plazas",02127,775 East First Street
Christopher Lee Playground,5.43840854,"Parks, Playgrounds & Athletic Fields",02127,775 East First Street
Hawes Burying Ground,0.24322679,Cemeteries & Burying Grounds,02127,301 Emerson Street
Union Burying Ground,0.12032393,Cemeteries & Burying Grounds,02127,650 East Fifth Street
Dorchester Heights NHS,4.40435229,"Malls, Squares & Plazas",02127, 
Flaherty Park,0.25204014,"Parks, Playgrounds & Athletic Fields",02127,130 B Street
Buckley Playground,0.64952408,"Parks, Playgrounds & Athletic Fields",02127,210 West Third Street
Ronan Park,11.2413665,"Parks, Playgrounds & Athletic Fields",02122,92 Mt. Ida Road
Mt. Bowdoin Green,0.53822545,"Malls, Squares & Plazas",02121,18 Bowdoin Avenue
Byrne Playground,1.18864855,"Parks, Playgrounds & Athletic Fields",02122,23 Everett Street
Doherty/Gibson Playground,5.72677554,"Parks, Playgrounds & Athletic Fields",02124,1545 Dorchester Avenue
Wellesley Park,0.7134472,"Parks, Playgrounds & Athletic Fields",02124,25 Wellesley Park
McMorrow Playground,5.23227413,"Parks, Playgrounds & Athletic Fields",02122, 
Hemenway Playground,4.39559122,"Parks, Playgrounds & Athletic Fields",02122,540 Adams Street
Rev. Loesch Family Park,2.25173143,"Parks, Playgrounds & Athletic Fields",02124,20 Wainwright Street
Codman Burying Ground,2.62546008,Cemeteries & Burying Grounds,02124, 
Walsh Playground,6.94625108,"Parks, Playgrounds & Athletic Fields","02126, 02124",1005 Washington Street
Dorchester South Burying Ground,1.93328338,Cemeteries & Burying Grounds,02124,2095 Dorchester Avenue
Dorchester Park,27.2996867,"Parks, Playgrounds & Athletic Fields",02124,2180 Dorchester Avenue
Gallivan/Hallet Circle,0.47803119,"Malls, Squares & Plazas",02122, 
Toohig Playground,2.12442011,"Parks, Playgrounds & Athletic Fields",02122, 
Martin/Hilltop Playground,1.31399581,"Parks, Playgrounds & Athletic Fields",02124,95 Myrtlebank Avenue
10 Josephine Street Garden,0.06909026,Community Gardens,02122, 
Mother's Rest at Four Corners,1.14620734,"Parks, Playgrounds & Athletic Fields",02124,410 Washington Street
Ripley Playground,0.84612895,"Parks, Playgrounds & Athletic Fields",02121,25 Ripley Road
Garvey Playground,5.26426894,"Parks, Playgrounds & Athletic Fields",02122,340 Neposet Avenue
Ventura Playground,1.31001994,"Parks, Playgrounds & Athletic Fields",02124, 
Geneva Cliffs,1.7984447,Urban Wilds,02121,275 Geneva Avenue
Hayes Park,0.2751935,"Parks, Playgrounds & Athletic Fields",02116,158 Warren Avenue
Peters Park II,0.50712416,"Parks, Playgrounds & Athletic Fields",02118,230 Shawmut Avenue
Peters Park I,3.32684208,"Parks, Playgrounds & Athletic Fields",02118,230 Shawmut Avenue
Rotch Playground,2.74608007,"Parks, Playgrounds & Athletic Fields",02118,30 Randolph Street
Ringgold Park,0.44552493,"Parks, Playgrounds & Athletic Fields",02118,10 Ringgold Street
Blackstone Square,2.44463878,"Malls, Squares & Plazas",02118,1535 Washington Street
Franklin Square,2.48301375,"Malls, Squares & Plazas",02118,1530 Washington Street
South End South Burying Ground,1.47010128,Cemeteries & Burying Grounds,02118,1620 Washington Street
Worcester Square,0.34378499,"Malls, Squares & Plazas",02118,1P Worcester Square
Carter Playground,4.91494835,"Parks, Playgrounds & Athletic Fields",02118,709 Columbus Avenue
Titus Sparrow Park,1.79889248,"Parks, Playgrounds & Athletic Fields",02118,75 West Rutland Square
Waltham Square,0.11841486,"Malls, Squares & Plazas",02118,2 Waltham Street
Harriet Tubman Square,0.14178604,"Malls, Squares & Plazas",02116,450 Columbus Avenue
Concord Square,0.14956232,"Malls, Squares & Plazas",02118,1P Concord Square
Ramsay Park,5.49386846,"Parks, Playgrounds & Athletic Fields",02118,1917 Washington Street
Commonwealth Avenue Outbound,5.5282581,"Parkways, Reservations & Beaches","02134, 02135, 02215", 
Commonwealth Plaza,0.1567464,"Malls, Squares & Plazas",02215, 
Chester Square,0.89020425,"Malls, Squares & Plazas",02118,544P Massachusetts Avenue
Msgr. Reynolds Playground,0.32092654,"Parks, Playgrounds & Athletic Fields",02118,5 Msgr. Reynolds Way
Rutland Square,0.15582059,"Malls, Squares & Plazas",02118,1P Rutland Square
Hiscock Park,0.10575804,"Parks, Playgrounds & Athletic Fields",02118,168 West Newton Street
Billings Field,10.77603957,"Parks, Playgrounds & Athletic Fields",02132,369 LaGrange Street
Mount Benedict Cemetery,79.31400741,Cemeteries & Burying Grounds,"02132, 02467", 
Mount Lebanon Cemetery,48.71769387,Cemeteries & Burying Grounds,02132, 
Gethsemane Cemetery,20.84240401,Cemeteries & Burying Grounds,02132, 
Hancock Woods,45.95344061,"Parkways, Reservations & Beaches","02132, 02467", 
Sawmill Brook/Brook Farm,149.44332308,"Parkways, Reservations & Beaches",02132, 
Congregation Mishkan Tefia Cemetery,9.5877396,Cemeteries & Burying Grounds,02132, 
Draper Playground,5.86258777,"Parks, Playgrounds & Athletic Fields",02132,5265 Washington Street
Westerly Burying Ground,0.90354196,Cemeteries & Burying Grounds,02132,2015 Centre Street
Piemonte Park,0.08957481,"Malls, Squares & Plazas",02132,205 Lasell Street
Duffie Square,0.05535156,"Malls, Squares & Plazas",02132,2 Stratford Street
St Joseph's Cemetery,129.11471872,Cemeteries & Burying Grounds,"02459, 02132, 02467", 
Allandale Woods I,48.14609073,Urban Wilds,"02132, 02467","75 VFW Parkway  
1185 Centre Street (Right of Way)"
Allandale Woods III,16.72572172,Urban Wilds,"02130, 02132, 02467",1215R Centre Street 200-232 Allandale Street
Bellevue Hill Reservation,26.66902106,"Parkways, Reservations & Beaches",02132, 
West Roxbury H.S. Athletic Fields,13.4250183,"Parks, Playgrounds & Athletic Fields",02132,1205 VFW Parkway
Ramler Park,0.5060027,"Parks, Playgrounds & Athletic Fields",02215,130 Peterborough Street
Fernald Rock,0.06345156,Urban Wilds,02125,400 Quincy Street
Nashua Street Park,2.03369846,"Parkways, Reservations & Beaches",02114, 
Chestnut Hill Reservoir,115.81199014,"Parkways, Reservations & Beaches","02135, 02467", 
Penniman Road Play Area,0.92237908,"Parks, Playgrounds & Athletic Fields",02134,25 Penniman Road
O'Day Playground,0.71771528,"Parks, Playgrounds & Athletic Fields",02118,"West Newton, San Juan, & Aquadilla Sts."
Fan Pier Plaza,2.36341621,"Malls, Squares & Plazas",02210,12 Northern Avenue
Children's Wharf Harborwalk,0.22805971,"Malls, Squares & Plazas",02210,308 Congress Street
Martin's Park,1.12128945,"Parks, Playgrounds & Athletic Fields",02210,64 Sleeper Steet
Braddock Park,0.09218721,"Malls, Squares & Plazas",02116,27P Braddock Park
Veterans Park,0.19887514,"Parks, Playgrounds & Athletic Fields",02128,76-84 London Street
East Boston Piers Park,6.79116545,"Parks, Playgrounds & Athletic Fields",02128, 
Caldwell Street Play Area,0.12752687,"Parks, Playgrounds & Athletic Fields",02129,9 Caldwell Street
L Street Beach,5.57148359,"Parkways, Reservations & Beaches",02127,1663 Columbia Road
M Street Beach,4.40304053,"Parkways, Reservations & Beaches",02127, 
Stonehill Park,0.36558742,"Parks, Playgrounds & Athletic Fields",02136,25 Stonehill Road
Strandway/Castle Island,47.70344233,"Parkways, Reservations & Beaches",02127, 
Marine Park,17.20141724,"Parkways, Reservations & Beaches",02127, 
UMass Harborwalk,13.08638195,"Parkways, Reservations & Beaches",02125, 
Malibu Beach,26.11969713,"Parkways, Reservations & Beaches",02125, 
Victory Road Park,6.15518826,"Parkways, Reservations & Beaches",02122, 
Parkman Memorial,6.71026098,"Parks, Playgrounds & Athletic Fields",02130,330 Perkins Street
West Roxbury High School Marsh,21.48685572,Open Land,02132, 
West Roxbury Parkway,31.76358405,"Parkways, Reservations & Beaches","02132, 02131, 02467", 
Florida Street Reservation,0.06797622,"Malls, Squares & Plazas","02124, 02122","Center Median, btwn King & Lonsdale Streets"
Tenean Beach,8.70228873,"Parkways, Reservations & Beaches",02122, 
Cedar Grove Cemetery,54.18516548,Cemeteries & Burying Grounds,02124, 
Martini Playground,5.78045491,"Parkways, Reservations & Beaches",02136, 
Reservation Road Park,9.32832139,"Parks, Playgrounds & Athletic Fields",02136,151 Reservation Road
Colella Playground,0.66053058,"Parks, Playgrounds & Athletic Fields",02136, 
Neponset Valley Parkway,5.54015396,"Parkways, Reservations & Beaches",02136, 
Dooley Playground,0.53566356,"Parks, Playgrounds & Athletic Fields",02136, 
Stony Brook Reservation I,285.44155885,"Parkways, Reservations & Beaches","02136, 02131", 
Patrick J. Kelly Park,0.25171851,"Parks, Playgrounds & Athletic Fields",02129,Prospect Street
Clark/Cooper Community Garden,3.55447112,Community Gardens,02131,500 Walk Hill Street
Kennedy Garden,0.15964578,Community Gardens,02126, 
White Stadium,12.57440475,"Parks, Playgrounds & Athletic Fields",02121, 
Havey Beach,15.198967,"Parkways, Reservations & Beaches",02132, 
Millennium Park I,91.65706919,"Parks, Playgrounds & Athletic Fields",02132,300 Gardner Street
South Street Mall & Courts,0.42841601,"Parks, Playgrounds & Athletic Fields",02130,52 South Street
First Church Cemetery,0.62835826,Cemeteries & Burying Grounds,02130, 
Golden Stairs Terrace Park I,0.17049598,"Parks, Playgrounds & Athletic Fields",02128,10 Brigham Street
The Rockies,0.71451437,Urban Wilds,02128,"148 Marginal Street 
144 Marginal Street (Community Garden section)"
Childe Hassam Park,0.06066722,"Malls, Squares & Plazas",02116,324 Columbus Avenue
Nellie Miranda Memorial Park,0.08739218,"Parks, Playgrounds & Athletic Fields",02125,39-41 Belden Street
Grove Hall Plaza,0.08834848,"Malls, Squares & Plazas",02121,461-465 Blue Hill Avenue
Chestnut Hill Reservoir Garden,0.11362569,Community Gardens,02135, 
Ohrenberger Play Area,0.67412629,"Parks, Playgrounds & Athletic Fields",02132, 
Wilson Square,0.05818013,"Malls, Squares & Plazas",02135,40 Dunboy Street
Little Mystic Access Area,2.06590881,"Parks, Playgrounds & Athletic Fields",02129, 
Moakley Park,58.77738076,"Parks, Playgrounds & Athletic Fields",02127,1005 Columbia Road
Kennedy Library Harborwalk,3.35985728,"Malls, Squares & Plazas",02125, 
Peabody Square,0.04662537,"Malls, Squares & Plazas",02124,2 Peabody Square
Savin Hill Cove,1.77458013,"Parkways, Reservations & Beaches","02125, 02122", 
Daniel E. O'Connor Park,0.13515974,"Malls, Squares & Plazas",02122, 
Oakview Terrace,0.10008297,"Malls, Squares & Plazas",02130,36P Oakview Terrace
Belle Isle Marsh Reservation,142.10358988,"Parkways, Reservations & Beaches",02128, 
Allandale Field,2.62654718,"Parks, Playgrounds & Athletic Fields","02132, 02467", 
Jamaicaway,4.75005995,"Parkways, Reservations & Beaches",02130, 
Perkins Street,0.22702045,"Parkways, Reservations & Beaches",02130, 
Chestnut Street,1.03910568,"Parkways, Reservations & Beaches",02130, 
Faneuil Square,0.81678949,"Malls, Squares & Plazas",02109,1P Faneuil Hall Square
Temple Street Park,0.06073199,"Malls, Squares & Plazas",02114,46 Temple Street
American Legion Highway,6.77560767,"Parkways, Reservations & Beaches","02126, 02121, 02124, 02131", 
Morton Street,0.76096783,"Parkways, Reservations & Beaches","02126, 02130, 02124, 02131", 
St Michael's Cemetery,46.50379724,Cemeteries & Burying Grounds,"02130, 02131", 
Patten's Cove,9.66123628,"Parkways, Reservations & Beaches",02125, 
Leo M. Birmingham Parkway,6.98172672,"Parkways, Reservations & Beaches",02135, 
Rivermoor II,1.03369101,Urban Wilds,02132,150 Rivermoor Street
Rivermoor III,0.51911572,Urban Wilds,02132, 
Parley Vale Preserve,0.72398241,"Parks, Playgrounds & Athletic Fields",02130,18-20 Parley Street
Condor Street Overlook,0.45,Urban Wilds,02128,2 Condor Street
Truman Parkway,2.71500041,"Parkways, Reservations & Beaches",02136, 
West Austin Rock,0.29626499,Urban Wilds,02136,216 West Street
Arborway Overpass Path,1.16385539,"Parkways, Reservations & Beaches",02130, 
Franklin Park Zoo,63.82554862,"Parks, Playgrounds & Athletic Fields",02121, 
Newland Street Park,0.1534102,"Parks, Playgrounds & Athletic Fields",02118,"97 West Concord;  Playlot Entrance, 90HF Newland Street"
Zero Quinn Way,0.03202902,"Parks, Playgrounds & Athletic Fields",02132,0 Quinn Way
Fenelon Street Playground,0.19241198,"Parks, Playgrounds & Athletic Fields",02121,20 Fenelon Street
Stanley-Bellevue Park,0.35813587,"Parks, Playgrounds & Athletic Fields",02125,23 Bellevue Street
Allandale Woods ROW,0.16386259,Urban Wilds,02132,1215R Centre Street 200-232 Allandale Street
St Helena's Park,0.17481047,"Parks, Playgrounds & Athletic Fields",02118,115 Union Park Street
Theresa Hynes Park,0.42343944,"Parks, Playgrounds & Athletic Fields",02135,99 Chestnut Hill Avenue
Ernst Chery Jr. Playground,0.23395832,"Parks, Playgrounds & Athletic Fields",02126,74 Orlando Street
Millennium Park II,8.33222815,Urban Wilds,02132,300 Gardner Street
North Point Park,2.34133036,"Parks, Playgrounds & Athletic Fields",02114, 
Bremen Street Park I,17.78916058,"Parks, Playgrounds & Athletic Fields",02128, 
South Bank Park,2.39521477,"Parkways, Reservations & Beaches",02114,Beverley and Causeway Sts
Lincoln Street Green,0.17757051,"Malls, Squares & Plazas",02111,17 South Street
Chinatown Park,0.84197364,"Malls, Squares & Plazas",02111, 
Armenian Heritage Park,0.2538375,"Malls, Squares & Plazas",02110, 
Endicott Triangle,0.03843055,"Malls, Squares & Plazas",02113,"Btwn Endicott, Stillman, & Cross Sts"
Dewey Square Parks,2.64044907,"Malls, Squares & Plazas","02110, 02210", 
Federal Reserve Bank Harborwalk,0.08032794,"Malls, Squares & Plazas",02210, 
Tufts Wharf Harborwalk,0.73915412,"Malls, Squares & Plazas",02210,510 Atlantic Avenue
Russia Wharf Harborwalk,0.06115193,"Malls, Squares & Plazas",02210, 
North End Park,2.82787538,"Malls, Squares & Plazas","02109, 02113", 
Wharf District Park,4.71128786,"Malls, Squares & Plazas","02110, 02109", 
McGann Park,0.88087107,"Parks, Playgrounds & Athletic Fields",02136,240 West Street
Bay Village Garden,0.01815408,"Malls, Squares & Plazas",02116,32 Melrose Street
Bussey Brook Meadow II,1.25776152,Open Land,02130,Opposite 376 Arborway Street
Franklin Park II,16.44115769,"Parks, Playgrounds & Athletic Fields",02121, 
